Institutes,Name,Phase,Vaccine,Platform,N,Age (years),N doses,Randomised,Design,lat,long,Location,Start date,Primary completion date,Trial number,Link,Status
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,60000,≥18,1,Yes,Double-blind,45.0902,-95.7129,"USA, Argentina, Brazil, others",07-09-20,10-03-23,NCT04505722,https://clinicaltrials.gov/ct2/show/NCT04505722,Recruiting
Beijing Institute of Biological Products/Wuhan Institute of Biological Products/Sinopharm,Inactivated vaccine,Phase III,WIBP/BIBP/Sinopharm vaccines,Inactivated,45000,≥18,2,Yes,Double-blind,23.4241,53.8478,"UAE, Bahrain, Jordan, Egypt",16-07-20,16-03-21,NCT04510207,https://clinicaltrials.gov/ct2/show/NCT04510207,Recruiting
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase III,Cansino Ad5-nCoV,Non-replicating viral vector,40000,≥18,1,Yes,Double-blind,30.3753,69.3451,Pakistan,15-09-20,30-12-21,NCT04526990,https://clinicaltrials.gov/ct2/show/NCT04526990,Recruiting
Gamaleya Research Institute,Gam-COVID-Vac,Phase III,Gamaleya Gam-COVID-Vac,Non-replicating viral vector,40000,≥18,2,Yes,Double-blind,61.524,105.3188,Russia,07-09-20,01-05-21,NCT04530396,https://clinicaltrials.gov/ct2/show/NCT04530396,Recruiting
Moderna/NIAID,mRNA-1273,Phase III,Moderna mRNA-1273,RNA,30000,≥18,2,Yes,Double-blind,32.0902,-85.7129,USA,27-07-20,27-10-22,NCT04470427,https://clinicaltrials.gov/ct2/show/NCT04470427,Recruiting
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford ChAdOx1-S,Non-replicating viral vector,30000,≥18,2,Yes,Double-blind,47.0902,-93.7129,USA,17-08-20,02-12-20,NCT04516746,https://clinicaltrials.gov/ct2/show/NCT04516746,Not yet recruiting
Sinovac/Instituto Butantan,CoronaVac,Phase III,Sinovac CoronaVac,Inactivated,13000,18–59,2,Yes,Double-blind,38.9637,35.2433,Turkey,14-09-20,15-02-21,NCT04582344,https://clinicaltrials.gov/ct2/show/NCT04582344,Recruiting
Novavax,NVX-CoV2373,Phase III,Novavax NVX-CoV2373,Protein subunit,9000,18–84,2,Yes,Double-blind,55.3781,-3.436,UK,28-09-20,31-01-21,NCT04583995,https://clinicaltrials.gov/ct2/show/NCT04583995,Recruiting
Sinovac/Instituto Butantan,CoronaVac,Phase III,Sinovac CoronaVac,Inactivated,8870,≥18,2,Yes,Double-blind,-14.235,-51.9253,Brazil,21-07-20,30-09-21,NCT04456595,https://clinicaltrials.gov/ct2/show/NCT04456595,Recruiting
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford ChAdOx1-S,Non-replicating viral vector,5000,≥18,1 or 2,Yes,Single-blind,-14.235,-51.9253,Brazil,02-06-20,30-09-21,NCT04536051,https://clinicaltrials.gov/ct2/show/NCT04536051,Recruiting
Beijing Institute of Biological Products/Sinopharm,BBIBP-CorV,Phase III,BIBP/Sinopharm BBIBP-CorV,Inactivated,3000,18–85,2,Yes,Double-blind,-38.4161,-63.6167,Argentina,16-09-20,01-12-21,NCT04560881,https://clinicaltrials.gov/ct2/show/NCT04560881,Recruiting
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford ChAdOx1-S,Non-replicating viral vector,2000,18–55,1,Yes,Single-blind,-14.235,-51.9253,Brazil,01-05-20,31-10-21,ISRCTN89951424,http://www.isrctn.com/ISRCTN89951424,No longer recruiting
Sinovac/Instituto Butantan,CoronaVac,Phase III,Sinovac CoronaVac,Inactivated,1620,18–59,2,Yes,Double-blind,-0.7893,113.9213,Indonesia,10-08-20,31-01-21,NCT04508075,https://clinicaltrials.gov/ct2/show/NCT04508075,Recruiting
Wuhan Institute of Biological Products/Sinopharm,Inactivated vaccine,Phase III,WIBP vaccine,Inactivated,600,≥18,2,Yes,Double-blind,31.7917,-7.0926,Morocco,02-09-20,31/012/2020,ChiCTR2000039000,http://www.chictr.org.cn/showprojen.aspx?proj=62581,Recruiting
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase III,Cansino Ad5-nCoV,Non-replicating viral vector,500,18–85,1,Yes,Double-blind,61.524,105.3188,Russia,11-09-20,30-11-20,NCT04540419,https://clinicaltrials.gov/ct2/show/NCT04540419,Recruiting
Gamaleya Research Institute,Gam-COVID-Vac,Phase III,Gamaleya Gam-COVID-Vac,Non-replicating viral vector,100,18–60,2,Yes,Double-blind,53.7098,27.9534,Belarus,28-09-20,28-03-21,NCT04564716,https://clinicaltrials.gov/ct2/show/NCT04564716,Recruiting
University of Oxford/AstraZeneca,ChAdOx1-S,Phase III,Oxford ChAdOx1-S,Non-replicating viral vector,100,≥18,2,No,Open-label,61.524,105.3188,Russia,26-08-20,05-03-21,NCT04540393,https://clinicaltrials.gov/ct2/show/NCT04540393,Not yet recruiting
BioNTech/Fosun Pharma/Pfizer,BNT162 (b1/b2),Phase II/III,BioNTech BNT162 (b1/b2),RNA,43998,≥16,2,Yes,"Double-blind, dose-finding",37.0902,-95.7129,"USA, Argentina, Brazil, others",29-04-20,13-06-21,NCT04368728,https://clinicaltrials.gov/ct2/show/NCT04368728,Recruiting
University of Oxford/AstraZeneca,ChAdOx1-S,Phase II/III,Oxford ChAdOx1-S,Non-replicating viral vector,12390,≥5,1 or 2,Yes,Single-blind,55.3781,-3.436,UK,28-05-20,31-08-21,NCT04400838,https://clinicaltrials.gov/ct2/show/NCT04400838,Recruiting
University of Oxford/AstraZeneca,ChAdOx1-S,Phase II/III,Oxford ChAdOx1-S,Non-replicating viral vector,1600,≥18,2,Yes,Single-blind,20.5937,78.9629,India,24-08-20,24-03-21,CTRI/2020/08/027170,http://ctri.nic.in/Clinicaltrials/showallp.php?mid1=46186&EncHid=&userName=covid-19%20vaccine,Recruiting
Novavax,NVX-CoV2373,Phase II,Novavax NVX-CoV2373,Protein subunit,2904,18–64,2,Yes,Single-blind,-30.5595,22.9375,South Africa,17-08-20,30-11-21,NCT04533399,https://clinicaltrials.gov/ct2/show/NCT04533399,Recruiting
Anhui Zhifei Longcom Biopharmaceutical/Chinese Academy of Sciences,RBD-Dimer vaccine,Phase II,AZLB protein subunit vaccine,Protein subunit,900,18–59,2 or 3,Yes,Double-blind,35.8617,104.1954,China,12-07-20,15-09-21,NCT04466085,https://clinicaltrials.gov/ct2/show/NCT04466085,Recruiting
CureVac,CVnCoV,Phase II,Curevac CVnCoV,RNA,691,≥18,2,Yes,"Double-blind, dose-confirmation",-9.19,-75.0152,Peru,28-09-20,09-11-21,NCT04515147,https://clinicaltrials.gov/ct2/show/NCT04515147,Recruiting
Moderna/NIAID,mRNA-1273,Phase II,Moderna mRNA-1273,RNA,600,≥18,2,Yes,"Observer-blind, dose-confirmation",37.0902,-95.7129,USA,29-05-20,31-03-21,NCT04405076,https://clinicaltrials.gov/ct2/show/NCT04405076,"Active, not recruiting"
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase II,Cansino Ad5-nCoV,Non-replicating viral vector,508,18–60,1,Yes,Double-blind,35.8617,104.1954,China,12-04-20,31-01-21,NCT04341389,https://clinicaltrials.gov/ct2/show/NCT04341389,"Active, not recruiting"
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase II,Cansino Ad5-nCoV,Non-replicating viral vector,481,≥6,2,Yes,"Double-blind, dose-finding",35.8617,104.1954,China,24-09-20,21-08-21,NCT04566770,https://clinicaltrials.gov/ct2/show/NCT04566770,Recruiting
Gamaleya Research Institute,Gam-COVID-Vac,Phase II,Gamaleya Gam-COVID-Vac,Non-replicating viral vector,110,≥60,2,No,Open-label,61.524,105.3188,Russia,15-10-20,15-12-20,NCT04587219,https://clinicaltrials.gov/ct2/show/NCT04587219,Not yet recruiting
Beijing Institute of Biological Products/Sinopharm,BBIBP-CorV,Phase I/II,BIBP/Sinopharm BBIBP-CorV,Inactivated,2128,≥3,Up to 3,Yes,"Double-blind, dose-finding",35.8617,104.1954,China,28-04-20,28-11-21,ChiCTR2000032459,http://www.chictr.org.cn/historyversionpuben.aspx?regno=ChiCTR2000032459,Recruiting
University of Oxford/AstraZeneca,ChAdOx1-S,Phase I/II,Oxford ChAdOx1-S,Non-replicating viral vector,2000,18–65,1 or 2,Yes,Double-blind,-30.5595,22.9375,South Africa,24-06-20,31-10-20,NCT04444674,https://clinicaltrials.gov/ct2/show/NCT04444674,Recruiting
Novavax,NVX-CoV2373,Phase I/II,Novavax NVX-CoV2373,Protein subunit,1419,18–84,1 or 2,Yes,"Double-blind, dose-finding",-25.2744,133.7751,"Australia, USA",25-05-20,01-12-20,NCT04368988,https://clinicaltrials.gov/ct2/show/NCT04368988,"Active, not recruiting"
Wuhan Institute of Biological Products/Sinopharm,Inactivated vaccine,Phase I/II,WIBP vaccine ,Inactivated,1264,≥6,Up to 3,Yes,"Double-blind, dose-finding",35.8617,104.1954,China,11-04-20,10-11-21,ChiCTR2000031809,http://www.chictr.org.cn/showprojen.aspx?proj=52227,Not yet recruiting
University of Oxford/AstraZeneca,ChAdOx1-S,Phase I/II,Oxford ChAdOx1-S,Non-replicating viral vector,1090,18–55,1 or 2,Yes,Single-blind,55.3781,-3.436,UK,23-04-20,31-10-21,NCT04324606,https://clinicaltrials.gov/ct2/show/NCT04324606,"Active, not recruiting"
Zydus Cadila Healthcare Limited (DNA),ZyCoV-D,Phase I/II,Zydus Cadila ZyCoV-D,DNA,1048,18–55,3,Yes,Double-blind,20.5937,78.9629,India,13-07-20,13-07-21,CTRI/2020/07/026352,"http://ctri.nic.in/Clinicaltrials/pdf_generate.php?trialid=45306&EncHid=&modid=&compid=%27,%2745306det%27",Recruiting
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase I/II,Janssen Ad26.COV2.S,Non-replicating viral vector,1045,≥18,1 or 2,Yes,"Double-blind, dose-finding",50.5039,4.4699,"Belgium, USA",15-07-20,15-09-21,NCT04436276,https://clinicaltrials.gov/ct2/show/NCT04436276,Recruiting
"Institute of Medical Biology,/Chinese Academy of Medical Sciences",Inactivated vaccine,Phase I/II,CAMS vaccine,Inactivated,942,18–59,2,Yes,"Double-blind, dose-finding",35.8617,104.1954,China,15-05-20,30-09-20,NCT04412538,https://clinicaltrials.gov/ct2/show/NCT04412538,Recruiting
Bharat Biotech/ICMR/National Institute of Virology,COVAXIN,Phase I/II,Bharat COVAXIN,Inactivated,755,12–65,2,Yes,Double-blind,20.5937,78.9629,India,13-07-20,30-06-21,NCT04471519,https://clinicaltrials.gov/ct2/show/NCT04471519,"Active, not recruiting"
Sinovac/Instituto Butantan,CoronaVac,Phase I/II,Sinovac CoronaVac,Inactivated,744,18–59,2,Yes,"Double-blind, dose-finding",35.8617,104.1954,China,16-04-20,10-07-20,NCT04352608,https://clinicaltrials.gov/ct2/show/NCT04352608,"Active, not recruiting"
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase I/II,Cansino Ad5-nCoV,Non-replicating viral vector,696,18–84,1 or 2,Yes,"Double-blind, dose-finding",56.1304,-106.3468,Canada,01-08-20,20-12-21,NCT04398147,https://clinicaltrials.gov/ct2/show/NCT04398147,Not yet recruiting
Instituto Finlay de Vacunas,FINLAY-FR-1,Phase I/II,Instituto Finlay de Vacunas FINLAY-FR-1,Protein subunit,676,19–80,2,Yes,Double-blind,21.5218,-77.7812,Cuba,24-08-20,NA,IFV/COR/04,https://rpcec.sld.cu/en/trials/RPCEC00000332-En,Recruiting
Sinovac/Instituto Butantan,CoronaVac,Phase I/II,Sinovac CoronaVac,Inactivated,552,3–17,2,Yes,Double-blind,35.8617,104.1954,China,28-09-20,31-01-21,NCT04551547,https://clinicaltrials.gov/ct2/show/NCT04551547,Not yet recruiting
"Institute of Medical Biology,/Chinese Academy of Medical Sciences",Inactivated vaccine,Phase I/II,CAMS vaccine,Inactivated,471,≥60,2,Yes,Double-blind,35.8617,104.1954,China,10-07-20,30-11-20,NCT04470609,https://clinicaltrials.gov/ct2/show/NCT04470609,Enrolling by invitation
BioNTech/Fosun Pharma/Pfizer,BNT162 (a1/b1/b2/c2),Phase I/II,BioNTech BNT162 (a1/b1/b2/c2),RNA,456,18–85,1 or 2,No,"Open-label, dose-finding",51.1657,10.4515,Germany,23-04-20,30-11-20,NCT04380701,https://clinicaltrials.gov/ct2/show/NCT04380701,Recruiting
Sanofi Pasteur/GSK,Protein subunit vaccine,Phase I/II,Sanofi/GSK protein subunit vaccine,Protein subunit,440,≥18,1 or 2,Yes,Double-blind,37.0902,-95.7129,USA,03-09-20,31-10-21,NCT04537208,https://clinicaltrials.gov/ct2/show/NCT04537208,Recruiting
Sinovac/Instituto Butantan,CoronaVac,Phase I/II,Sinovac CoronaVac,Inactivated,422,≥60,2,Yes,"Double-blind, dose-finding",35.8617,104.1954,China,22-05-20,28-08-20,NCT04383574,https://clinicaltrials.gov/ct2/show/NCT04383574,"Active, not recruiting"
SpyBiotech/Serum Institute of India,RBD-HBsAg VLP vaccine,Phase I/II,SpyBiotech RBD-HBsAg VLP,Virus-like particle,280,18–79,1 or 2,Yes,"Observer-blind, dose-finding",-25.2744,133.7751,Australia,22-08-20,30-03-21,ACTRN12620000817943,https://anzctr.org.au/Trial/Registration/TrialReview.aspx?id=380145&isReview=true,Recruiting
Institut Pasteur/Themis/University of Pittsburg/Merck,V591,Phase I/II,Themis V591,Replicating viral vector,260,≥18,1 or 2,Yes,"Double-blind, dose-finding",47.5162,14.5501,"USA, Austria, Belgium",27-08-20,26-04-22,NCT04498247,https://clinicaltrials.gov/ct2/show/NCT04498247,Recruiting
Research Institute for/Biological Safety Problems (inactivated),QAZCOVID-IN,Phase I/II,RIBSP QAZCOVID-IN ,Inactivated,244,≥18,1 or 2,Yes,Single-blind,48.0196,66.9237,Kazakhstan,19-09-20,01-12-20,NCT04530357,https://clinicaltrials.gov/ct2/show/NCT04530357,Enrolling by invitation
Genexine Consortium,GX-19,Phase I/II,Genexine GX-19,DNA,210,18–50,2,Yes,"Double-blind, dose-finding",35.9078,127.7669,Republic of Korea,17-06-20,17-03-21,NCT04445389,https://clinicaltrials.gov/ct2/show/NCT04445389,Recruiting
Aivita Biomedical Inc,AV-COVID-19,Phase I/II,Aivita AV-COVID-19,Other,180,≥18,1,Yes,"Double-blind, dose-finding",37.0902,-95.7129,USA,01-07-20,31-12-20,NCT04386252,https://clinicaltrials.gov/ct2/show/NCT04386252,Not yet recruiting
Kentucky Bioprocessing Inc,KBP-COVID-19,Phase I/II,KBP-COVID-19,Protein subunit,180,18–70,2,Yes,"Double-blind, dose-finding",,,Unclear,14-11-20,25-03-21,NCT04473690,https://clinicaltrials.gov/ct2/show/NCT04473690,Not yet recruiting
Inovio Pharmaceuticals/International Vaccine Institute,INO-4800,Phase I/II,Inovio INO-4800,DNA,160,19–64,2,Yes,"Open-label (A), double-blind (B), dose-finding",35.9078,127.7669,Republic of Korea,15-07-20,22-02-22,NCT04447781,https://clinicaltrials.gov/ct2/show/NCT04447781,Recruiting
Bharat Biotech/ICMR/National Institute of Virology,COVAXIN,Phase I/II,Bharat COVAXIN,Inactivated,124,12–65,2,Yes,"Open-label, dose-finding",20.5937,78.9629,India,08-09-20,08-05-21,CTRI/2020/09/027674,http://ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=46312&EncHid=&userName=vaccine,Recruiting
BioNTech/Fosun Pharma/Pfizer,BNT162 (b3),Phase I/II,BioNTech BNT162 (b3),RNA,120,18–85,2,No,"Open-label, dose-finding",51.1657,10.4515,Germany,09-09-20,30-09-21,NCT04537949,https://clinicaltrials.gov/ct2/show/NCT04537949,Recruiting
"FBRI SRC VB VECTOR,/Rospotrebnadzor, Koltsovo/(peptide)",EpiVacCorona,Phase I/II,FBRI SRC VB EpiVacCorona,Protein subunit,100,18–60,2,Yes,"Open-label (phase I), single-blind (phase II)",61.524,105.3188,Russia,27-07-20,28-09-20,NCT04527575,https://clinicaltrials.gov/ct2/show/NCT04527575,"Active, not recruiting"
Chulalongkorn University,ChulaCov19,Phase I/II,Chulalongkorn ChulaCov19,RNA,96,18–75,2,No,"Open-label, dose-finding",15.87,100.9925,Thailand,01-01-21,31-03-21,NCT04566276,https://clinicaltrials.gov/ct2/show/NCT04566276,Not yet recruiting
Arcturus/Duke-NUS,LUNAR-COV19/ARCT-021,Phase I/II,Arcturus ARCT-021,RNA,92,21–80,1,Yes,Double-blind,1.3521,103.8198,Singapore,04-08-20,31-12-20,NCT04480957,https://clinicaltrials.gov/ct2/show/NCT04480957,Recruiting
Anhui Zhifei Longcom Biopharmaceutical/Chinese Academy of Sciences,RBD-Dimer vaccine,Phase I/II,AZLB protein subunit vaccine,Protein subunit,50,≥60,Unclear,Yes,"Single-blind, dose-finding",35.8617,104.1954,China,19-08-20,31-10-21,NCT04550351,https://clinicaltrials.gov/ct2/show/NCT04550351,Recruiting
Gamaleya Research Institute,Gam-COVID-Vac Lyo,Phase I/II,Gamaleya Gam-COVID-Vac (Lyo),Non-replicating viral vector,38,18–60,1 or 2,No,Open-label,61.524,105.3188,Russia,17-06-20,03-08-20,NCT04437875,https://clinicaltrials.gov/ct2/show/NCT04437875,Completed
Gamaleya Research Institute,Gam-COVID-Vac,Phase I/II,Gamaleya Gam-COVID-Vac,Non-replicating viral vector,38,18–60,1 or 2,No,Open-label,61.524,105.3188,Russia,17-06-20,03-08-20,NCT04436471,https://clinicaltrials.gov/ct2/show/NCT04436471,Completed
Osaka University/AnGes/Takara Bio,AG0302-COVID19,Phase I/II,AnGes AG0302-COVID19,DNA,30,20–65,2 or 3,Yes,Open-label,36.2048,138.2529,Japan,31-08-20,26-11-20,NCT04527081,https://clinicaltrials.gov/ct2/show/NCT04527081,"Active, not recruiting"
Osaka University/AnGes/Takara Bio,AG0301-COVID19,Phase I/II,AnGes AG0301-COVID19,DNA,30,20–65,2,No,"Open-label, dose-finding",36.2048,138.2529,Japan,29-06-20,26-09-20,NCT04463472,https://clinicaltrials.gov/ct2/show/NCT04463472,"Active, not recruiting"
University of Oxford/AstraZeneca,ChAdOx1-S,Phase I/II,Oxford ChAdOx1-S,Non-replicating viral vector,12,≥18,1 or 2,Yes,Double-blind,36.2048,138.2529,Japan,23-08-20,06-09-21,NCT04568031,https://clinicaltrials.gov/ct2/show/NCT04568031,Recruiting
Imperial College London,LNP-nCoVsaRNA,Phase I,Imperial LNP-nCoVsaRNA,RNA,320,18–75,2,Part,Dose-finding,55.3781,-3.436,UK,01-04-20,31-07-21,ISRCTN17072692,http://www.isrctn.com/ISRCTN17072692,Recruiting
IAVI/Merck,V590,Phase I,Merck V590,Replicating viral vector,252,≥18,1,Yes,Double-blind,,,Unclear,22-10-20,03-12-21,NCT04569786,https://clinicaltrials.gov/ct2/show/NCT04569786,Not yet recruiting
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase I,Janssen Ad26.COV2.S,Non-replicating viral vector,250,≥20,2,Yes,"Double-blind, dose-finding",36.2048,138.2529,Japan,11-08-20,08-01-21,NCT04509947,https://clinicaltrials.gov/ct2/show/NCT04509947,Recruiting
University of Queensland/CSL/Seqirus,Molecular clamp vaccine,Phase I,University of Queensland vaccine,Protein subunit,216,≥18,2,Yes,"Double-blind, dose-finding",-25.2744,133.7751,Australia,13-07-20,31-10-20,NCT04495933; ACTRN12620000674932,https://clinicaltrials.gov/ct2/show/NCT04495933,Recruiting
Medicago Inc/GSK/Dynavax,Plant-derived VLP vaccine,Phase I,Medicago VLP vaccine,Virus-like particle,180,18–55,2,Yes,"Open-label, dose-finding",56.1304,-106.3468,Canada,10-07-20,12-09-20,NCT04450004,https://clinicaltrials.gov/ct2/show/NCT04450004,"Active, not recruiting"
Beijing Minhai Biotechnology Co Ltd,Inactivated vaccine,Phase I,Beijing Minhai vaccine,Inactivated,180,≥18,Up to 3,Yes,"Double-blind, dose-finding",35.8617,104.1954,China,07-10-20,06-04-22,ChiCTR2000038804,http://www.chictr.org.cn/showprojen.aspx?proj=62350,Not yet recruiting
CureVac,CVnCoV,Phase I,Curevac CVnCoV,RNA,168,18–60,2,Yes,"Single-blind, dose-finding",50.5039,4.4699,"Belgium, Germany",18-06-20,31-08-21,NCT04449276,https://clinicaltrials.gov/ct2/show/NCT04449276,Recruiting
PLA Academy of Military Sciences/Walvax Biotech,ARCoV,Phase I,PLA-AMS ARCoV,RNA,168,18–80,Unclear,Yes,Dose-finding,24.8617,97.1954,China,25-06-20,31-12-21,ChiCTR2000034112,http://www.chictr.org.cn/showprojen.aspx?proj=55524,Not yet recruiting
"West China Hospital,/Sichuan University",Protein subunit vaccine,Phase I,West China Hospital Protein subunit vaccine,Protein subunit,168,≥18,2 or 3,Yes,"Double-blind, dose-finding",35.8617,104.1954,China,28-08-20,28-10-20,NCT04530656,https://clinicaltrials.gov/ct2/show/NCT04530656?,Not yet recruiting
Clover Biopharmaceuticals Inc/GSK/Dynavax,SCB-2019,Phase I,Clover SCB-2019,Protein subunit,150,18–75,2,Yes,"Double-blind, dose-finding",-25.2744,133.7751,Australia,19-06-20,20-10-20,NCT04405908,https://clinicaltrials.gov/ct2/show/NCT04405908,Recruiting
BioNTech/Fosun Pharma/Pfizer,BNT162 (b1),Phase I,BioNTech BNT162,RNA,144,18–85,2,Yes,Double-blind,35.8617,100.1954,China,28-07-20,30-09-20,NCT04523571,https://clinicaltrials.gov/ct2/show/NCT04523571,Recruiting
PLA Academy of Military Sciences,Ad5-nCoV,Phase I,PLA Ad5-nCoV,Non-replicating viral vector,144,≥18,1 or 2,No,"Open-label, dose-finding",28.8617,96.1954,China,29-09-20,31-12-20,NCT04552366,https://clinicaltrials.gov/ct2/show/NCT04552366,Recruiting
Moderna/NIAID,mRNA-1273,Phase I,Moderna mRNA-1273,RNA,120,18–55,2,No,"Open-label, dose-finding",46.0902,-98.7129,USA,16-03-20,22-11-21,NCT04283461,https://clinicaltrials.gov/ct2/show/NCT04283461,"Active, not recruiting"
Inovio Pharmaceuticals/International Vaccine Institute,INO-4800,Phase I,Inovio INO-4800,DNA,120,≥18,1 or 2,No,"Open-label, dose-finding",50.0902,-90.7129,USA,03-04-20,31-07-21,NCT04336410,https://clinicaltrials.gov/ct2/show/NCT04336410,"Active, not recruiting"
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase I,Cansino Ad5-nCoV,Non-replicating viral vector,108,18–60,1,No,"Open-label, dose-finding",27.8617,98.1954,China,16-03-20,30-12-20,NCT04313127; ChiCTR2000030906,https://clinicaltrials.gov/ct2/show/NCT04313127,"Active, not recruiting"
Shenzhen Geno-Immune Medical Institute/(modified APC),aAPC vaccine,Phase I,SGMI aAPC,Other,100,0.5–80,3,No,Open-label,24.8617,104.1954,China,15-02-20,31-07-23,NCT04299724,https://clinicaltrials.gov/ct2/show/NCT04299724,Recruiting
Shenzhen Geno-Immune Medical Institute/(modified DC),LV-SMENP-DC vaccine,Phase I,SGMI LV-SMENP-DC,Other,100,0.5–80,1,No,Open-label,21.8617,104.1954,China,24-03-20,31-07-23,NCT04276896,https://clinicaltrials.gov/ct2/show/NCT04276896,Recruiting
Institut Pasteur/Themis/University of Pittsburg/Merck,V591,Phase I,Themis V591,Replicating viral vector,90,18–55,1 or 2,Yes,"Double-blind, dose-finding",50.5039,4.4699,"Belgium, France",10-08-20,30-11-20,NCT04497298,https://clinicaltrials.gov/ct2/show/NCT04497298,Recruiting
ReiThera/Leukocare/Univercells,GRAd-COV2,Phase I,ReiThera GRAd-COV2,Non-replicating viral vector,90,18–85,1,No,"Open-label, dose-finding",41.8719,12.5674,Italy,10-08-20,31-07-21,NCT04528641,https://clinicaltrials.gov/ct2/show/NCT04528641,Recruiting
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase I,Cansino Ad5-nCoV,Non-replicating viral vector,89,18–60,1,No,Open-label,35.8617,92.1954,China,26-09-20,25-10-20,NCT04568811,https://clinicaltrials.gov/ct2/show/NCT04568811,"Active, not recruiting"
Adimmune Corporation,AdimrSC-2f,Phase I,Adimmune AdimrSC-2f,Protein subunit,70,20–60,Unclear,Yes,"Open-label, dose-finding",23.6978,120.9605,Taiwan,24-08-20,20-11-20,NCT04522089,https://clinicaltrials.gov/ct2/show/NCT04522089,Recruiting
Beijing Wantai Biological Pharmacy/Xiamen University,DelNS1-2019-nCoV-RBD-OPT1,Phase I,BWBP DelNS1-2019-nCoV-RBD-OPT1,Replicating viral vector,60,≥18,Unclear,Yes,Double-blind,35.8617,98.1954,China,01-09-20,01-10-21,ChiCTR2000037782,http://www.chictr.org.cn/showprojen.aspx?proj=55421,Not yet recruiting
Covaxx/University of Nebraska Medical Center,UB-612,Phase I,Covaxx UB-612,Protein subunit,60,20–55,2,No,"Open-label, dose-finding",23.6978,120.9605,Taiwan,25-09-20,31-12-20,NCT04545749,https://clinicaltrials.gov/ct2/show/NCT04545749,Recruiting
Anhui Zhifei Longcom Biopharmaceutical/Chinese Academy of Sciences,RBD-Dimer vaccine,Phase I,AZLB protein subunit vaccine,Protein subunit,50,18–59,2,Yes,Double-blind,29.8617,105.1954,China,22-06-20,21-07-21,NCT04445194,https://clinicaltrials.gov/ct2/show/NCT04445194,Recruiting
Vaxart,VXA-CoV2-1,Phase I,Vaxart VXA-CoV2-1,Non-replicating viral vector,48,18–54,2,No,"Open-label, dose-finding",31.0902,-78.7129,USA,01-09-20,31-12-20,NCT04563702,https://clinicaltrials.gov/ct2/show/NCT04563702,Recruiting
Medigen Vaccine Biologics Corporation/NAID/Dynavax,MVC-COV1901,Phase I,Medigen MVC-COV1901,Protein subunit,45,20–50,2,No,"Open-label, dose-finding",23.6978,120.9605,Taiwan,15-09-20,30-05-21,NCT04487210,https://clinicaltrials.gov/ct2/show/NCT04487210,Not yet recruiting
Vaxine Pty/Medytox,COVAX-19,Phase I,Vaxine protein subunit vaccine,Protein subunit,40,18–65,2,Yes,Double-blind,-25.2744,133.7751,Australia,30-06-20,01-07-21,NCT04453852,https://clinicaltrials.gov/ct2/show/NCT04453852,Recruiting
University Hospital Tübingen,CoVac-1,Phase I,Tübingen CoVac-1,Protein subunit,36,≥18,1,No,Open-label,45.1657,10.4515,Germany,30-09-20,30-09-21,NCT04546841,https://clinicaltrials.gov/ct2/show/NCT04546841,Not yet recruiting
Ludwig Maximilian University of Munich,MVA-SARS-2-S,Phase I,Munich MVA-SARS-2-S,Non-replicating viral vector,30,18–55,2,No,"Open-label, dose-finding",51.1657,13.4515,Germany,01-10-20,31-05-21,NCT04569383,https://clinicaltrials.gov/ct2/show/NCT04569383,Not yet recruiting
Symvivo,bacTRL-Spike,Phase I,Symvivo bacTRL-Spike,DNA,12,≥18,1,Yes,"Open-label, dose-finding",56.1304,-106.3468,Canada,01-10-20,30-12-21,NCT04334980,https://clinicaltrials.gov/ct2/show/NCT04334980,Not yet recruiting
