Institutes,Country,Type,Name,Platform,Phase,Date started,Reference,"Listed by WHO, 05 Oct 2020","Listed by Milken, 05 Oct 2020",Other
Aegis Biodefense,USA,Commercial,DNA vaccine,DNA,Pre-clinical,09-06-20,NA (direct contact),no,no,NA
BioNet Asia,Thailand,Commercial,DNA vaccine,DNA,Pre-clinical,26-03-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,NA
Chula Vaccine Research Center,Thailand,Academic,DNA vaccine,DNA,Pre-clinical,31-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,DNA with electroporation
Ege University,Turkey,Academic,DNA vaccine,DNA,Pre-clinical,01-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Entos Pharmaceuticals,Canada,Commercial,Fusogenix DNA vaccine,DNA,Pre-clinical,19-03-20,https://www.pharmaceutical-business-review.com/news/entos-pharmaceuticals-fusogenix-covid-19/,yes,yes,NA
Genexine Consortium,Republic of Korea,Commercial,GX-19,DNA,Phase I/II,16-03-20,http://www.koreabiomed.com/news/articleView.html?idxno=7727,yes,yes,NA
Immunomic Therapeutics Inc/Epivax Inc/PharmaJet,USA,Commercial,DNA vaccine,DNA,Pre-clinical,09-04-20,https://www.immunomix.com/immunomic-therapeutics-forms-collaboration-with-epivax-and-pharmajet-to-develop-novel-vaccine-candidate-against-covid-19-using-its-investigational-unite-platform/,yes,yes,"Plasmid DNA, needle-free delivery"
Inovio Pharmaceuticals/International Vaccine Institute,USA/Republic of Korea,Commercial/Academic,INO-4800,DNA,Phase I/II,12-03-20,https://www.prnewswire.com/news-releases/inovio-receives-new-5-million-grant-to-accelerate-scale-up-of-smart-delivery-device-for-its-covid-19-vaccine-301022049.html,yes,yes,DNA plasmid vaccine electroporation device
Karolinska Intitute/Cobra Biologics,Sweden,Commercial/Academic,DNA vaccine,DNA,Pre-clinical,26-03-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,DNA with electroporation
Mediphage Bioceuticals/University of Waterloo,Canada,Commercial/Academic,msDNA vaccine,DNA,Pre-clinical,16-04-20,https://uwaterloo.ca/stories/news/university-waterloo-developing-dna-based-covid-19-vaccine,yes,yes,"Nasal spray, bacteriophage delivery, VLP-encoded DNA vaccine"
"National Research Centre, Egypt (DNA)",Egypt,Academic,DNA plasmid vaccine,DNA,Pre-clinical,28-06-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,"S,S1,S2,RBD &N "
Osaka University/AnGes/Takara Bio,Japan,Commercial/Academic,AG0301-COVID19,DNA,Phase I/II,05-03-20,https://www.anges.co.jp/en/pdf.php?pdf=003Mk7IxCg7spYu6nteDj80QPMCznRi2.pdf,yes,yes,NA
Scancell/University of Nottingham/Nottingham Trent University,UK,Commercial/Academic,DNA vaccine,DNA,Pre-clinical,24-04-20,https://www.scancell.co.uk/Data/Sites/1/media/publications/news/covid-19-vaccine-programme.pdf,yes,yes,Target N and S proteins
Statens Serum Institute,Denmark,Academic,CoVAXIX,DNA,Pre-clinical,14-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,no,yes,NA
Symvivo,Canada,Commercial,bacTRL-Spike,DNA,Phase I,06-04-20,https://www.symvivo.com/covid-19,yes,yes,"Orally administered, genetically modified probiotic bacteria"
Takis/Applied DNA Sciences/Evvivax,Italy/USA,Commercial,DNA vaccine,DNA,Pre-clinical,27-01-20,http://www.takisbiotech.it/index.php/en/news/200-takis-and-evvivax-developing-a-2019-ncov-coronavirus-vaccine,yes,yes,NA
University of Cambridge/DIOSynVax,UK,Commercial/Academic,DIOS-CoVax2,DNA,Pre-clinical,17-01-20,https://www.cam.ac.uk/research/news/cambridge-research-team-working-towards-vaccine-against-covid-19,no,yes,NA
UW-Madison/Pan Genomes Systems,USA,Commercial/Academic,DNA vaccine,DNA,Pre-clinical,15-02-20,https://www.trialsitenews.com/uw-madison-spinoff-purses-covid-19-vaccine-introducing-pan-genome-systems/,no,no,Nasal spray; nucleic acid based
Zydus Cadila Healthcare Limited (DNA),India,Commercial,ZyCoV-D,DNA,Phase I/II,20-03-20,https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus-landscape-ncov.pdf?ua=1,yes,yes,NA
Beijing Institute of Biological Products/Sinopharm,China,Commercial/Academic,BBIBP-CorV,Inactivated,Phase III,26-03-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,NA
Beijing Minhai Biotechnology Co Ltd,China,Commercial,Inactivated vaccine,Inactivated,Phase I,27-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Bharat Biotech/ICMR/National Institute of Virology,India,Commercial/Academic,COVAXIN,Inactivated,Phase I/II,30-06-20,https://timesofindia.indiatimes.com/city/hyderabad/indias-first-covid-19-vaccine-candidate-by-hyd-co-set-for-trials/articleshow/76699925.cms,yes,yes,NA
Erciyes University (inactivated),Turkey,Academic,Inactivated vaccine,Inactivated,Pre-clinical,24-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
"Institute of Medical Biology,/Chinese Academy of Medical Sciences",China,Academic,Inactivated vaccine,Inactivated,Phase I/II,17-04-20,https://www.biocentury.com/article/304515,yes,yes,NA
KM Biologics,Japan,Commercial,Inactivated vaccine,Inactivated,Pre-clinical,01-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Inactivated + alum
"National Research Centre, Egypt (inactivated)",Egypt,Academic,Inactivated vaccine,Inactivated,Pre-clinical,29-06-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Inactivated whole virus 
Osaka University/BIKEN/NIBIOHN (inactivated),Japan,Commercial/Academic,Inactivated vaccine,Inactivated,Pre-clinical,19-03-20,https://pj.jiho.jp/article/241725,yes,yes,NA
Research Institute for/Biological Safety Problems (inactivated),Republic of Kazakhstan,Academic,QAZCOVID-IN,Inactivated,Phase I/II,15-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Selcuk University (inactivated),Turkey,Academic,Inactivated vaccine,Inactivated,Pre-clinical,01-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Sinovac/Dynavax,China/USA,Commercial,Inactivated vaccine,Inactivated,Pre-clinical,16-04-20,https://www.globenewswire.com/news-release/2020/04/16/2017222/0/en/Dynavax-and-Sinovac-Announce-Collaboration-to-Develop-a-Coronavirus-COVID-19-Vaccine.html,yes,yes,Sinovac’s inactivated vaccine plus Dynavax adjuvant CpG 1018 adjuvant
Sinovac/Instituto Butantan,China/Brazil,Commercial/Academic,CoronaVac,Inactivated,Phase III,20-03-20,https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus-landscape-ncov.pdf?ua=1,yes,yes,Formaldehyde-inactivated + alum
Valneva/Dynavax,France/USA,Commercial,Inactivated vaccine,Inactivated,Pre-clinical,22-04-20,https://valneva.com/press-release/valneva-and-dynavax-announce-collaboration-to-advance-vaccine-development-for-covid-19/,yes,yes,NA
Wuhan Institute of Biological Products/Sinopharm,China,Commercial/Academic,Inactivated vaccine,Inactivated,Phase III,26-03-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,NA
Codagenix/Serum Institute of India,USA/India,Commercial,Live-attenuated vaccine,Live-attenuated,Pre-clinical,13-02-20,https://www.prnewswire.com/news-releases/codagenix-and-serum-institute-of-india-initiate-co-development-of-a-scalable-live-attenuated-vaccine-against-the-2019-novel-coronavirus-covid-19-301004654.html?tc=eml_cleartime,yes,yes,Codon deoptimized live attenuated vaccines
Indian Immunologicals Ltd/Griffith University,India/USA,Commercial/Academic,Live-attenuated vaccine,Live-attenuated,Pre-clinical,23-04-20,https://news.griffith.edu.au/2020/04/23/griffith-university-researchers-on-the-road-to-covid-19-vaccine/,yes,yes,Codon deoptimized live attenuated virus
Mehmet Ali Aydinlar University/Abicadem Labmed Health Services,Turkey,Commercial/Academic,Live-attenuated vaccine,Live-attenuated,Pre-clinical,01-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Codon deoptimized live attenuated vaccines
Meissa Vaccines,USA ,Commercial,MV-014-210,Live-attenuated,Pre-clinical,30-06-20,https://www.businesswire.com/news/home/20200630005072/en/Meissa-Vaccines-Pipeline-Update-Vaccine-Candidates-COVID-19,no,yes,NA
Altimmune,USA,Commercial,T-COVID,Non-replicating viral vector,Pre-clinical,01-06-20,https://www.globenewswire.com/news-release/2020/06/01/2041361/0/en/Altimmune-Launches-Clinical-Trial-of-T-COVIDTM-an-Investigational-Intranasal-Immune-Modulator-for-the-Treatment-of-Patients-with-Early-COVID-19.html,yes,no,Adenovirus-based NasoVAX
Altimmune/University of Alabama at Birmingham,USA,Commercial/Academic,AdCOVID,Non-replicating viral vector,Pre-clinical,28-02-20,https://www.globenewswire.com/news-release/2020/02/28/1992600/0/en/Altimmune-Completes-First-Development-Milestone-Toward-a-Single-Dose-Intranasal-COVID-19-Vaccine.html,no,yes,Adenovirus-based NasoVAX expressing SARS2-CoV spike protein
Ankara University,Turkey,Academic,Non-replicating viral vector vaccine,Non-replicating viral vector,Pre-clinical,01-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Adenovirus-based
Bharat Biotech/Thomas Jefferson University,USA/India,Commercial/Academic,CORAVAX,Non-replicating viral vector,Pre-clinical,07-04-20,https://www.beckershospitalreview.com/infection-control/thomas-jefferson-university-researchers-develop-covid-19-vaccine-candidate.html,yes,yes,Killed rabies carrier vaccine
CanSino Biological Inc/Beijing Institute of Biotechnology,China,Commercial/Academic,Ad5-nCoV,Non-replicating viral vector,Phase III,20-01-20,https://www.bioworld.com/articles/433791-china-approves-first-homegrown-covid-19-vaccine-to-enter-clinical-trials,yes,yes,NA
Centro Nacional Biotecnología (CNB-CSIC)/(vector),Spain,Academic,Non-replicating viral vector vaccine,Non-replicating viral vector,Pre-clinical,26-03-20,https://fems-microbiology.org/wp-content/uploads/2020/03/Enjuanes-Sola-Zúñiga-2020.-Novel-Human-Pathogenic-Coronavirus-SARS-CoV-2.pdf,yes,yes,MVA expressing structural proteins
DZIF - German Center for Infection Research/IDT Biologika GmbH,Germany,Commercial/Academic,MVA-S encoded vaccine,Non-replicating viral vector,Pre-clinical,11-04-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,MVA-S encoded
Erciyes University (vector),Turkey,Academic,Non-replicating viral vector vaccine,Non-replicating viral vector,Pre-clinical,23-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Adeno5 based
Gamaleya Research Institute,Russia,Academic,Gam-COVID-Vac,Non-replicating viral vector,Phase III,01-06-20,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,"rAd26/rAd5 expressing S protein, intramuscular, separate trial of lyophilised formulation"
GeoVax,China,Commercial,MVA-VLP vaccine,Non-replicating viral vector,Pre-clinical,27-01-20,https://www.geovax.com/news/geovax-and-bravovax-wuhan-china-to-collaborate-on-development-of-coronavirus-vaccine,yes,yes,MVA-encoded VLP; formerly listed as GeoVax/BravoVax but collaboration did not proceed
Greffex,USA,Commercial,Ad5 S (GREVAX),Non-replicating viral vector,Pre-clinical,11-03-20,https://www.greffex.com/news/greffex-inc-completes-covid-19-vaccine-and-prepares-for-testing/,yes,yes,Ad5 S (GREVAX platform)
Icahn School of Medicine at Mount Sinai,USA,Academic,Non-replicating viral vector vaccine,Non-replicating viral vector,Pre-clinical,01-09-20,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Newcastle disease virus expressing S
ID Pharma,Japan,Commercial,Non-replicating viral vector vaccine,Non-replicating viral vector,Pre-clinical,01-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Sendai virus vector
IDIBAPS-Hospital Clinic (viral vector),Spain,Academic,MVA-S vaccine,Non-replicating viral vector,Pre-clinical,01-06-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
ImmunityBio Inc/NantKwest Inc,USA,Commercial,hAd5-COVID19-Spike/Nucleocapsid,Non-replicating viral vector,Pre-clinical,14-04-20,https://www.biospace.com/article/releases/nantkwest-and-immunitybio-announce-therapeutics-and-vaccines-for-combatting-covid-19-clinical-trials-anticipated-to-begin-this-quarter/,yes,yes,Four deletions enabling response in Ad-exposed
Institut Pasteur/TheraVectys,France,Commercial/Academic,Non-replicating viral vector vaccine,Non-replicating viral vector,Pre-clinical,01-02-20,http://www.theravectys.com/development-pipeline/,no,yes,Intranasal lentiviral vector vaccine
Janssen Pharmaceutical Companies,USA,Commercial,Ad26.COV2.S,Non-replicating viral vector,Phase III,27-01-20,https://www.cnbc.com/2020/01/27/jj-pretty-confident-it-can-create-china-coronavirus-vaccine.html,yes,yes,Ad26 (alone or with MVA boost)
Ludwig Maximilian University of Munich,Germany,Academic,MVA-SARS-2-S,Non-replicating viral vector,Phase I,27-03-20,https://www.en.uni-muenchen.de/news/newsarchiv/2020/sutter_impfstoffe_en.html,yes,no,Modified Caccinia virus Ankara vaccine
Massachusetts Eye and Ear/Massachusetts General Hospital/AveXis,USA,Commercial/Academic,AAVCOVID,Non-replicating viral vector,Pre-clinical,05-05-20,https://masseyeandear.org/news/press-releases/2020/05/mee-and-mgh-advancing-aavcovid-vaccine,yes,yes,"adeno-associated viral (AAV)-based, S protein"
McMaster University,Canada,Academic,Non-replicating viral vector vaccine,Non-replicating viral vector,Pre-clinical,26-05-20,Direct contact,no,no,Multi-valent HuAd5 and ChAd68-vectored; aerosol delivery
National Center for Genetic Engineering &/Biotechnology (BIOTEC)/GPO,Thailand,Commercial/Academic,Non-replicating viral vector vaccine,Non-replicating viral vector,Pre-clinical,01-06-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Inactivated Flu-based SARS-CoV2 vaccine + Adjuvant
"National Research Centre, Egypt (vector)",Egypt,Academic,Non-replicating viral vector vaccine,Non-replicating viral vector,Pre-clinical,30-06-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Influenza A H1N1 vector 
PLA Academy of Military Sciences,China,State,Ad5-nCoV,Non-replicating viral vector,Phase I,28-09-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Ad5 viral vector
ReiThera/Leukocare/Univercells,Italy,Commercial,GRAd-COV2,Non-replicating viral vector,Phase I,26-03-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,Replication defective simian adenovirus (GRAd) encoding SARS-CoV-2 S
Stabilitech Biophaarma Ltd,UK,Commercial,OraPro-COVID-19,Non-replicating viral vector,Pre-clinical,19-03-20,https://www.stabilitech.com/orapro-covid-19/,yes,yes,Orally administered recombinant adenovirus vector
Tsinghua University,China,Academic,Adenovirus-vectored vaccine,Non-replicating viral vector,Pre-clinical,02-04-20,http://www.china.org.cn/china/2020-04/02/content_75891534.htm,no,no,Adenovirus vector-based vaccine (could not verify if replicating/non-replicating)
University of Georgia/University of Iowa,USA,Academic,Non-replicating viral vector vaccine,Non-replicating viral vector,Pre-clinical,05-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Parainfluenza virus 5-based vaccine expressing S protein
University of Manitoba,Canada,Academic,Dendritic cell-based vaccine,Non-replicating viral vector,Pre-clinical,05-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
University of Oxford/AstraZeneca,UK,Commercial/Academic,ChAdOx1-S,Non-replicating viral vector,Phase III,10-01-20,https://www.ovg.ox.ac.uk/news/covid-19-vaccine-development,yes,yes,Chimpanzee adenovirus vector
Valo Therapeutics Ltd,Finland/USA,Commercial,Pan-Corona,Non-replicating viral vector,Pre-clinical,05-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Adenovirus-based + HLA-matched peptides
Vaxart,USA,Commercial,VXA-CoV2-1,Non-replicating viral vector,Phase I,18-03-20,http://www.globenewswire.com/news-release/2020/03/18/2002458/0/en/EMERGENT-BIOSOLUTIONS-SIGNS-DEVELOPMENT-AND-MANUFACTURING-AGREEMENT-WITH-VAXART-FOR-THEIR-EXPERIMENTAL-ORAL-VACCINE-CANDIDATE-FOR-CORONAVIRUS-DISEASE.html,yes,yes,NA
Vaxinz Inc/Institute Leloir Foundation/CONICET/(vector #1),Argentina/USA,Commercial/Academic,VXZ-11NS,Non-replicating viral vector,Pre-clinical,01-08-20,http://vaxinz.com,no,no,Direct contact; human adenoviral vector
Vaxinz Inc/Institute Leloir Foundation/CONICET/(vector #2),Argentina/USA,Commercial/Academic,VXZ-11PFS,Non-replicating viral vector,Pre-clinical,01-08-20,http://vaxinz.com,no,no,Direct contact; human adenoviral vector
Aivita Biomedical Inc,USA,Commercial,AV-COVID-19,Other,Phase I,13-05-20,https://clinicaltrials.gov/ct2/show/NCT04386252?term=vaccine&cond=COVID-19&draw=2&rank=18,no,no,NA
COVID-19 Vaccine Corporation Ltd,New Zealand,Commercial,Biodegradable polymer biobead display vaccine,Other,Pre-clinical,01-05-20,https://cvc.nz,no,no,2 antigens: RBD and multiple T cell epitopes
ERC Worldwide,Belgium,Commercial,ERC SARS-Cov-2 vaccine,Other,Pre-clinical,09-04-20,https://finance.yahoo.com/news/erc-launches-development-program-novel-120010871.html,no,no,Consists of virions at different stages of viral replication and human cells/fragments
Farmacológicos Veterinarios SAC/Universidad Peruana Cayetano Heredia/(bacterial vector),Peru,Commercial/Academic,Replicating bacterial vector vaccine,Other,Pre-clinical,28-08-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Oral Salmonella enteritidis (3934Vac) based protein expression system of RBD
OSE immunotherapeutics,France,Commercial,T-cell based vaccine,Other,Pre-clinical,02-10-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,"CD8 T cell peptide targeting(S, M, N) and (NSPs) SARS-CoV-2 proteins"
Shenzhen Geno-Immune Medical Institute/(modified APC),China,Academic,aAPC vaccine,Other,Phase I,31-01-20,https://www.nature.com/articles/d41573-020-00073-5,no,yes,Artificial APCs modified with lentiviral vector expressing synthetic minigene based on domains of selected viral proteins
Shenzhen Geno-Immune Medical Institute/(modified DC),China,Academic,LV-SMENP-DC vaccine,Other,Phase I,31-01-20,https://www.nature.com/articles/d41573-020-00073-5,no,yes,DCs modified with lentiviral vector expressing synthetic minigene based on domains of selected viral proteins; administered with antigen-specific CTLs
Ufovax,USA,Commercial,1c-SApNP VLP vaccine,Other,Pre-clinical,12-04-20,https://statnano.com/news/67566/Ufovax-Formulates-COVID-19-Vaccine-Using-its-Nanoparticle-Vaccine-Technology,no,no,NA
"University of California, Los Angeles",USA,Academic,Replicating bacterial vector vaccine,Other,Pre-clinical,01-05-20,http://ucla.technologypublisher.com/techcase/20-0322,no,yes,Recombinant LVS ΔcapB – vectored vaccine expressing multiple SARS-CoV-2 antigens.
